NAV,Date
75.98,28-Apr-23
76.36,02-May-23
76.49,03-May-23
77.3,04-May-23
77.19,05-May-23
78.02,08-May-23
78.14,09-May-23
78.18,10-May-23
78.5,11-May-23
78.51,12-May-23
78.55,15-May-23
78.88,16-May-23
78.91,17-May-23
78.66,18-May-23
78.7,19-May-23
79.08,22-May-23
79.32,23-May-23
79.24,24-May-23
79.73,25-May-23
80.47,26-May-23
80.59,29-May-23
80.91,30-May-23
81.17,31-May-23
81.07,01-Jun-23
81.48,02-Jun-23
81.72,05-Jun-23
81.85,06-Jun-23
82.51,07-Jun-23
81.9,08-Jun-23
81.92,09-Jun-23
82.32,12-Jun-23
83.49,13-Jun-23
83.5,14-Jun-23
83.63,15-Jun-23
84.37,16-Jun-23
84.27,19-Jun-23
84.54,20-Jun-23
84.73,21-Jun-23
83.97,22-Jun-23
83.23,23-Jun-23
83.62,26-Jun-23
83.8,27-Jun-23
84.5,28-Jun-23
85.05,30-Jun-23
84.93,03-Jul-23
84.94,04-Jul-23
85.02,05-Jul-23
85.19,06-Jul-23
84.62,07-Jul-23
84.16,10-Jul-23
84.59,11-Jul-23
84.82,12-Jul-23
84.78,13-Jul-23
85.35,14-Jul-23
85.63,17-Jul-23
85.55,18-Jul-23
86.13,19-Jul-23
86,20-Jul-23
85.68,21-Jul-23
85.81,24-Jul-23
86.13,25-Jul-23
86.25,26-Jul-23
85.92,27-Jul-23
85.98,28-Jul-23
87,31-Jul-23
87.27,01-Aug-23
86.27,02-Aug-23
85.95,03-Aug-23
86.28,04-Aug-23
86.27,07-Aug-23
86.28,08-Aug-23
86.38,09-Aug-23
86.53,10-Aug-23
86.47,11-Aug-23
86.2,14-Aug-23
86.27,16-Aug-23
86.54,17-Aug-23
86.29,18-Aug-23
86.96,21-Aug-23
87.73,22-Aug-23
87.95,23-Aug-23
88.32,24-Aug-23
87.72,25-Aug-23
87.94,28-Aug-23
88.33,29-Aug-23
88.94,30-Aug-23
89.23,31-Aug-23
89.66,01-Sep-23
89.79,04-Sep-23
90.6,05-Sep-23
90.77,06-Sep-23
91.21,07-Sep-23
91.77,08-Sep-23
92.19,11-Sep-23
90.56,12-Sep-23
90.18,13-Sep-23
90.78,14-Sep-23
90.9,15-Sep-23
90.41,18-Sep-23
90.11,20-Sep-23
89.33,21-Sep-23
89.15,22-Sep-23
89.58,25-Sep-23
89.71,26-Sep-23
90.01,27-Sep-23
89.66,29-Sep-23
89.73,03-Oct-23
88.76,04-Oct-23
88.8,05-Oct-23
89.37,06-Oct-23
88.77,09-Oct-23
89.51,10-Oct-23
89.94,11-Oct-23
90.13,12-Oct-23
90.11,13-Oct-23
90.13,16-Oct-23
90.49,17-Oct-23
89.99,18-Oct-23
89.67,19-Oct-23
89.11,20-Oct-23
87.19,23-Oct-23
86.8,25-Oct-23
85.94,26-Oct-23
87.1,27-Oct-23
87.28,30-Oct-23
87.04,31-Oct-23
87.14,01-Nov-23
87.76,02-Nov-23
88.07,03-Nov-23
88.85,06-Nov-23
89.38,07-Nov-23
90.07,08-Nov-23
89.94,09-Nov-23
90.03,10-Nov-23
90.15,13-Nov-23
90.8,15-Nov-23
91.18,16-Nov-23
91.35,17-Nov-23
91.34,20-Nov-23
91.41,21-Nov-23
91.78,22-Nov-23
92.02,23-Nov-23
91.84,24-Nov-23
91.97,28-Nov-23
92.4,29-Nov-23
93.45,30-Nov-23
93.93,01-Dec-23
95.07,04-Dec-23
95.35,05-Dec-23
95.23,06-Dec-23
95.54,07-Dec-23
95.3,08-Dec-23
95.8,11-Dec-23
95.16,12-Dec-23
95.56,13-Dec-23
96.71,14-Dec-23
97.19,15-Dec-23
97.42,18-Dec-23
97.15,19-Dec-23
95.34,20-Dec-23
95.98,21-Dec-23
96.98,22-Dec-23
97.13,26-Dec-23
97.76,27-Dec-23
97.71,28-Dec-23
98.51,29-Dec-23
98.2,01-Jan-24
97.81,02-Jan-24
97.74,03-Jan-24
98.65,04-Jan-24
99.07,05-Jan-24
98.26,08-Jan-24
98.6,09-Jan-24
98.67,10-Jan-24
99.01,11-Jan-24
99.43,12-Jan-24
99.38,15-Jan-24
98.95,16-Jan-24
98.03,17-Jan-24
97.57,18-Jan-24
98.74,19-Jan-24
97.18,23-Jan-24
98.32,24-Jan-24
97.68,25-Jan-24
98.91,29-Jan-24
97.91,30-Jan-24
98.9,31-Jan-24
98.36,01-Feb-24
99.1,02-Feb-24
98.88,05-Feb-24
99.76,06-Feb-24
100.98,07-Feb-24
100.85,08-Feb-24
100.46,09-Feb-24
99.37,12-Feb-24
99.56,13-Feb-24
99.84,14-Feb-24
100.52,15-Feb-24
101.74,16-Feb-24
102.09,19-Feb-24
101.95,20-Feb-24
101.31,21-Feb-24
102,22-Feb-24
102.88,23-Feb-24
102.51,26-Feb-24
103.04,27-Feb-24
101.67,28-Feb-24
102.38,29-Feb-24
102.72,01-Mar-24
102.64,04-Mar-24
102.14,05-Mar-24
101.87,06-Mar-24
102.51,07-Mar-24
102.48,11-Mar-24
101.58,12-Mar-24
98.77,13-Mar-24
100.52,14-Mar-24
100.48,15-Mar-24
100.32,18-Mar-24
99.63,19-Mar-24
99.59,20-Mar-24
101.58,21-Mar-24
101.82,22-Mar-24
102.88,26-Mar-24
103.52,27-Mar-24
104.27,28-Mar-24
104.26,31-Mar-24
